model,run,seed,clustering,transitivity,triangles,edges,max_degree,components,edges_lost,hub_degree
swapped,22,566346082,0.15526900040040928,0.11711920529801324,1179,1421,106,1,0,106
swapped,23,1911255507,0.16738881432750688,0.12059602649006622,1214,1421,106,1,0,106
swapped,24,3785305214,0.14925267201334608,0.11791390728476821,1187,1421,106,1,0,106
swapped,25,2091726580,0.16204006183606293,0.12466887417218543,1255,1421,106,1,0,106
swapped,26,2305185228,0.14511792821466274,0.1162251655629139,1170,1421,106,1,0,106
swapped,27,3276737940,0.1435571947572904,0.12268211920529801,1235,1421,106,1,0,106
swapped,28,1237848574,0.16438036982021142,0.12526490066225165,1261,1421,106,1,0,106
swapped,29,3266681333,0.16052764703208688,0.10718543046357616,1079,1421,106,1,0,106
swapped,30,1184986856,0.14979321838988896,0.11304635761589404,1138,1421,106,1,0,106
swapped,31,1633838658,0.14445417654260384,0.11721854304635762,1180,1421,106,1,0,106
swapped,32,1099798603,0.1544234273128259,0.11572847682119206,1165,1421,106,1,0,106
swapped,33,1984980805,0.14585826309798133,0.11771523178807947,1185,1421,106,1,0,106
swapped,34,2704393351,0.17043588599805914,0.1264569536423841,1273,1421,106,1,0,106
swapped,35,870770536,0.14990655936618227,0.11940397350993377,1202,1421,106,1,0,106
swapped,36,1555574184,0.15594131732314512,0.12447019867549669,1253,1421,106,1,0,106
swapped,37,2098092523,0.1554969902851049,0.11880794701986755,1196,1421,106,1,0,106
swapped,38,1415386464,0.14563152585285893,0.12158940397350994,1224,1421,106,1,0,106
swapped,39,1455339393,0.14709616874427275,0.11860927152317881,1194,1421,106,1,0,106
swapped,40,1760540267,0.14628195946184405,0.1152317880794702,1160,1421,106,1,0,106
swapped,41,2693082242,0.15122284715918763,0.11602649006622516,1168,1421,106,1,0,106
swapped,42,1586814302,0.1578706523340799,0.12218543046357616,1230,1421,106,2,0,106
swapped,43,1867391448,0.1588707446107038,0.10470198675496689,1054,1421,106,1,0,106
swapped,44,3001201263,0.14831672174071237,0.10778145695364238,1085,1421,106,1,0,106
swapped,45,754818581,0.1723234820883858,0.12049668874172186,1213,1421,106,1,0,106
swapped,46,1425013373,0.14591819258796251,0.11860927152317881,1194,1421,106,1,0,106
swapped,47,2340682510,0.14731400864362096,0.1169205298013245,1177,1421,106,1,0,106
swapped,48,376109343,0.14520104688496344,0.12129139072847682,1221,1421,106,1,0,106
swapped,49,1345155106,0.14310726505367244,0.12149006622516556,1223,1421,106,1,0,106
swapped,50,179429574,0.16122525412998168,0.11552980132450331,1163,1421,106,1,0,106
swapped,51,905422254,0.14982173483131134,0.11245033112582782,1132,1421,106,1,0,106
swapped,52,3984040335,0.1656602221496074,0.12427152317880795,1251,1421,106,1,0,106
swapped,53,1735040177,0.16157391332957485,0.11463576158940397,1154,1421,106,1,0,106
swapped,54,54545148,0.15412200791872616,0.11463576158940397,1154,1421,106,1,0,106
swapped,55,1133809436,0.1765167707682806,0.11026490066225166,1110,1421,106,1,0,106
swapped,56,3240848894,0.15776106815252755,0.11254966887417218,1133,1421,106,1,0,106
swapped,57,2370259228,0.17744094862059184,0.12288079470198675,1237,1421,106,1,0,106
swapped,58,3767065826,0.15756340565950613,0.11890728476821193,1197,1421,106,1,0,106
swapped,59,3346752463,0.14239688945186685,0.11582781456953642,1166,1421,106,1,0,106
swapped,60,2876121748,0.15106159018076348,0.11612582781456954,1169,1421,106,1,0,106
swapped,61,116138256,0.17112630712188315,0.11602649006622516,1168,1421,106,1,0,106
swapped,62,1991258619,0.17459568605810044,0.11741721854304636,1182,1421,106,1,0,106
swapped,63,3763752715,0.14351411294541697,0.12814569536423842,1290,1421,106,1,0,106
swapped,64,2850704085,0.1642999937558544,0.11701986754966888,1178,1421,106,1,0,106
swapped,65,211750653,0.16085641746567597,0.12208609271523178,1229,1421,106,1,0,106
swapped,66,3500385578,0.15275078470983,0.11900662251655629,1198,1421,106,1,0,106
swapped,67,2765884356,0.1548321639507681,0.1097682119205298,1105,1421,106,1,0,106
swapped,68,1578550425,0.15400598077570646,0.12417218543046357,1250,1421,106,1,0,106
