node,character,degree,betweenness_real,betweenness_null_mean,betweenness_null_sd,betweenness_z,harmonic_real,harmonic_null_mean,harmonic_null_sd,harmonic_z,betweenness_surprise_rank
211,Shatterstar,5,0.0012585575631756814,0.0008004444094492542,0.001113816622403847,0.4113003384145265,97.01666666666648,109.41299999999978,6.541766162330563,-1.8949520703927145,58
101,Hank_Pym,27,0.02098349723286165,0.018926983489955876,0.005047986227487524,0.4073928989163149,133.49999999999986,140.30333333333328,2.1175340155688422,-3.2128566924134243,59
43,Chase_Stein,6,0.0020081333952712602,0.0013234898022775193,0.0016962952887352627,0.4036110915005859,108.78333333333315,111.46783333333312,5.783661818059913,-0.4641523111910557,60
189,Red_Raven_(Marvel_Comics),5,0.0017113045038595028,0.0010016492328219617,0.0017946516650533516,0.3954278620505693,98.9833333333331,110.13816666666645,6.581886932684269,-1.6947774167831389,61
135,Justice_(New_Universe),6,0.0017711553812952692,0.0011916351541520318,0.0015066544052917445,0.3846404491353946,97.06666666666648,111.54441666666645,5.886095027907262,-2.4596527802146917,62
262,Vindicator_(comics),6,0.0016535905998772411,0.0011377528744266046,0.0013721743930502296,0.375927234951508,103.53333333333309,112.96724999999978,5.957803973743943,-1.583455365138226,63
202,Sabra_(character),10,0.004136403672644219,0.003211834940124747,0.0024807946297421913,0.37269055706378856,124.91666666666653,120.68808333333314,4.715976438981864,0.8966506487140767,64
98,Guardian_(Marvel_Comics),7,0.0017895464314852468,0.0013902968720928372,0.0011257327875310978,0.3546574851639741,104.19999999999978,114.12016666666645,5.958002700177409,-1.6650154700955884,65
136,Karnak_(character),10,0.003933526129972923,0.0031139059696647124,0.002436199073381747,0.3364339840957561,118.19999999999975,120.6414999999998,4.7523966124741674,-0.5137407920861569,66
260,Vance_Astrovik,11,0.004184069688164738,0.0035130854015293774,0.0020283557979561386,0.3308020650575576,112.44999999999978,121.92016666666646,4.520132268932342,-2.095108307284898,67
27,Blue_Diamond_(character),9,0.0031443899280369633,0.0024966330130617464,0.0019806381723725124,0.3270445475658483,100.61666666666645,119.84083333333314,4.9850647261436505,-3.856352469376688,68
18,Black_Knight_(Marvel_Comics),7,0.0025373812044095093,0.0018487790970057355,0.0021979177348882156,0.31329748901580046,111.0333333333331,113.68458333333311,6.299487260670353,-0.4208675865657477,69
77,Fandral,2,0.000484853011092319,0.0002154136745817667,0.0010137802616165597,0.2657768618230031,101.06666666666645,97.66933333333317,8.458345308636506,0.40165460375144374,70
